Vertical,Category,Business Type,Primary GBP Category,Secondary GBP Categories
Business Services,Consumer Services,Auto repair & maintenance,Auto repair shop,"Auto body shop, Car repair and maintenance, Auto tune up service, Brake shop, Tire shop"
Business Services,Consumer Services,Funeral & cemetery services,Funeral home,"Cemetery, Cremation service, Casket service, Mortuary, Memorial park"
Business Services,Consumer Services,Moving & junk removal,Moving company,"Junk removal service, Dumpster rental service, Hauling service, Self-storage facility"
Business Services,Consumer Services,Pet boarding & grooming,Pet grooming service,"Dog day care center, Pet boarding service, Dog trainer, Animal shelter, Kennel"
Business Services,Consumer Services,Residential services franchises,Contractor,"Handyman, Home improvement store, House cleaning service, Lawn care service"
Business Services,Consumer Services,Veterinary clinics,Veterinarian,"Animal hospital, Veterinary pharmacy, Pet boarding service, Emergency veterinarian service"
Business Services,Education & Training,Corporate training providers,Corporate entertainment service,"Training center, Business management consultant, Educational consultant, Computer training school"
Business Services,Education & Training,Early childhood education (daycare),Day care center,"Preschool, Childminder, Child care agency, Part time daycare, Children's club"
Business Services,Education & Training,Test prep & tutoring centers,Tutoring service,"Cramming school, Education center, Coaching center, After school program"
Business Services,Education & Training,Vocational / trade schools,Vocational school,"Technical school, Trade school, Apprenticeship center, Adult education school"
Business Services,Facility & Specialty Services,Commercial cleaning & janitorial,Commercial cleaning service,"Cleaners, Cleaning products supplier, House cleaning service, Janitorial service"
Business Services,Facility & Specialty Services,Electrical contractors,Electrician,"Electrical installation service, Generator installation service, Solar energy company, Lighting contractor"
Business Services,Facility & Specialty Services,Fire & safety inspection,Fire protection service,"Fire department, Safety equipment supplier, Building inspector, Emergency training"
Business Services,Facility & Specialty Services,HVAC maintenance & service,HVAC contractor,"Air conditioning repair service, Air conditioning contractor, Furnace repair service, Heating contractor, Air duct cleaning service"
Business Services,Facility & Specialty Services,Landscaping & grounds maintenance,Landscaping service,"Lawn care service, Gardener, Tree service, Garden service, Arborist and tree surgeon"
Business Services,Facility & Specialty Services,Painting & surface contractors,Painter,"House painter, Commercial painter, Drywall contractor, Pressure washing service"
Business Services,Facility & Specialty Services,Pest control,Pest control service,"Exterminator, Termite inspection service, Bird control service, Animal control service"
Business Services,Facility & Specialty Services,Plumbing & drain services,Plumber,"Drainage service, Septic system service, Water treatment service, Pipe repair service, Drain cleaning service"
Business Services,Facility & Specialty Services,Roofing & exterior contractors,Roofing contractor,"Gutter cleaning service, Siding contractor, Waterproofing company, Roof inspection service"
Business Services,Facility & Specialty Services,Solar & renewable energy installation,Solar energy company,"Solar panel installation, EV charging station installation, Energy auditor, Electrical installation service"
Business Services,Facility & Specialty Services,Specialty trade contractors,General contractor,"Masonry contractor, Flooring contractor, Carpentry service, Concrete contractor, Insulation contractor"
Business Services,Logistics & Distribution,Last-mile delivery services,Delivery service,"Courier service, Distribution service, Freight forwarding service, Moving company"
Business Services,Logistics & Distribution,Specialty freight & hauling,Moving company,"Freight forwarding service, Distribution service, Trucking company, Container service"
Business Services,Logistics & Distribution,Third-party logistics (3PL),Distribution service,"Freight forwarding service, Warehouse, Cold storage facility, Delivery service"
Business Services,Professional & Business Services,Accounting & CPA firms,Accounting firm,"Accountant, Certified public accountant, Bookkeeping service, Tax preparation service, Auditor"
Business Services,Professional & Business Services,Commercial insurance brokerage,Insurance agency,"Insurance broker, Business to business service, Financial consultant, Auto insurance agency"
Business Services,Professional & Business Services,HR outsourcing (PEO),Human resource consulting,"Employment agency, Business management consultant, Payroll service, Employment consultant"
Business Services,Professional & Business Services,Payroll processing,Payroll service,"Accounting firm, Human resource consulting, Business administration service, Bookkeeping service"
Business Services,Professional & Business Services,Tax preparation services,Tax preparation service,"Accountant, Accounting firm, Certified public accountant, Financial consultant"
Healthcare,Behavioral & Mental Health,ABA therapy (autism),Therapist,"Occupational therapist, Child psychologist, Special education school, Mental health service"
Healthcare,Behavioral & Mental Health,Outpatient behavioral health,Mental health service,"Counselor, Psychologist, Psychiatrist, Family counselor, Child psychologist"
Healthcare,Behavioral & Mental Health,Substance abuse & addiction treatment,Addiction treatment center,"Alcoholism treatment program, Mental health service, Rehabilitation center, Counselor"
Healthcare,Dental & Oral Health,Dental service organizations (DSO),Dental clinic,"Dentist, Cosmetic dentist, Dental implants periodontist, Dental laboratory"
Healthcare,Dental & Oral Health,Oral surgery practices,Oral surgeon,"Dentist, Dental clinic, Dental implants periodontist, Endodontist"
Healthcare,Dental & Oral Health,Orthodontics / Invisalign practices,Orthodontist,"Dentist, Dental clinic, Cosmetic dentist"
Healthcare,Healthcare Services & Admin,Diagnostic imaging centers,Diagnostic center,"Medical clinic, Radiologist, Medical laboratory, Hospital department"
Healthcare,Healthcare Services & Admin,Healthcare staffing (travel nursing),Nursing agency,"Employment agency, Temp agency, Staffing agency, Home health care service"
Healthcare,Healthcare Services & Admin,Medical billing & coding,Medical billing service,"Billing service, Accounting firm, BPO company, Data entry service"
Healthcare,Healthcare Services & Admin,Pharmacy benefit management (PBM),Pharmacy,"Insurance agency, Business management consultant"
Healthcare,Physician & Clinical Services,Chiropractic & alternative medicine,Chiropractor,"Acupuncturist, Naturopathic practitioner, Massage therapist, Physical therapist"
Healthcare,Physician & Clinical Services,Dermatology practices,Dermatologist,"Skin care clinic, Medical clinic, Cosmetic dentist, Doctor"
Healthcare,Physician & Clinical Services,Nutrition & wellness counseling,Nutritionist,"Dietitian, Health coach, Wellness center, Functional medicine practitioner"
Healthcare,Physician & Clinical Services,Ophthalmology / optometry practices,Ophthalmologist,"Optometrist, Eye care center, Contact lenses supplier, Optician"
Healthcare,Physician & Clinical Services,Orthopedic & sports medicine,Orthopedic surgeon,"Sports medicine clinic, Physical therapist, Doctor, Medical clinic"
Healthcare,Physician & Clinical Services,Primary care / concierge medicine,Family practice physician,"Medical clinic, Doctor, General practitioner, Internist"
Healthcare,Physician & Clinical Services,Specialty physician practices,Medical clinic,"Internist, Gastroenterologist, Cardiologist, Endocrinologist, Neurologist, Allergist"
Healthcare,Physician & Clinical Services,Urgent care clinics,Urgent care center,"Medical clinic, Emergency care service, Walk-in clinic, Doctor"
Healthcare,Post-Acute & Long-Term Care,Home health agencies,Home health care service,"Nursing agency, Adult day care center, Hospice, Physical therapist"
Healthcare,Post-Acute & Long-Term Care,Hospice & palliative care,Hospice,"Home health care service, Nursing agency, Medical clinic"
Healthcare,Post-Acute & Long-Term Care,Long-term acute care hospitals,Rehabilitation center,"Long-term acute care hospital, Critical care hospital, Inpatient rehabilitation facility"
Healthcare,Post-Acute & Long-Term Care,Skilled nursing / rehab facilities,Nursing home,"Rehabilitation center, Physical therapist, Assisted living facility, Occupational therapist"
Technology-Enabled Services,B2B SaaS & Vertical Software,ERP / practice management (niche),Software company,"Computer service, Business management consultant, Computer support and services"
Technology-Enabled Services,B2B SaaS & Vertical Software,Field service management software,Software company,"Computer service, Computer support and services, Business management consultant"
Technology-Enabled Services,B2B SaaS & Vertical Software,Property management software,Software company,"Computer software store, Real estate agency, Property management company"
Technology-Enabled Services,B2B SaaS & Vertical Software,Vertical market SaaS (SMB),Software company,"Computer software store, E-commerce service, Database management company, Computer service"
Technology-Enabled Services,"Data, Analytics & Compliance",Compliance & regulatory tech,Business management consultant,"Computer service, Software company, Environmental consultant, Certification agency"
Technology-Enabled Services,"Data, Analytics & Compliance",Engineering inspection software,Software company,"Building inspector, Engineering consultant, Computer service"
